vignette_id,run_id,s_norm,n_eff,condition_number,n_voices
BANCO-005,24,0.1759086316,1.6102177287,421.981489,15
BANCO-005,25,0.1730443507,1.6157202220,415.004845,16
BANCO-005,26,0.1809300941,1.6514352171,464.442386,16
BANCO-005,27,0.1865655400,1.6774411581,380.824754,16
BANCO-005,28,0.1886808144,1.6453275553,359.552127,14
BANCO-005,29,0.1656053058,1.5659105590,516.195904,15
BANCO-005,30,0.1810181308,1.6518383643,459.223393,16
BANCO-006,1,0.1841219306,1.6464334964,434.256229,15
BANCO-006,2,0.1695732788,1.6002453486,617.894209,16
BANCO-006,3,0.1703820906,1.6038379293,531.345561,16
BANCO-006,4,0.1728939207,1.6150464772,475.945322,16
BANCO-006,5,0.1723686033,1.5948550126,486.785603,15
BANCO-006,6,0.1764822327,1.6311946297,438.895472,16
BANCO-006,7,0.1710849023,1.6069662277,490.450945,16
BANCO-006,8,0.1835443957,1.6438604978,411.688141,15
BANCO-006,9,0.1761553812,1.5918297644,483.353045,14
BANCO-006,10,0.1792728277,1.6249545026,463.267938,15
BANCO-006,11,0.1791950163,1.6246121331,431.787921,15
BANCO-006,12,0.1858996987,1.6543790077,391.890581,15
BANCO-006,13,0.1870488210,1.6595352567,491.527977,15
BANCO-006,14,0.1739645250,1.6017626306,484.627170,15
BANCO-006,15,0.1681076987,1.5765581536,435.267750,15
BANCO-006,16,0.1832529346,1.6425635248,444.635727,15
BANCO-006,17,0.1774696368,1.6170389782,420.116015,15
BANCO-006,18,0.1727046420,1.6141991359,482.942462,16
BANCO-006,19,0.1737677143,1.6189639459,494.364071,16
BANCO-006,20,0.1885312439,1.6662108112,407.586470,15
BANCO-006,21,0.1738382454,1.6192805712,534.512195,16
BANCO-006,22,0.1708510268,1.5883141288,428.403876,15
BANCO-006,23,0.1695988858,1.5829374977,420.065948,15
BANCO-006,24,0.1757642407,1.6279506462,479.499771,16
BANCO-006,25,0.1711396152,1.5895559003,466.093949,15
BANCO-006,26,0.1736174736,1.6182896977,558.774633,16
BANCO-006,27,0.1829911553,1.6608993179,558.744355,16
BANCO-006,28,0.1689742669,1.5975898451,530.410019,16
BANCO-006,29,0.1758606450,1.6100084947,425.660606,15
BANCO-006,30,0.1818498986,1.6363344592,399.584838,15
BANCO-007,1,0.1791985621,1.6435259645,476.521566,16
BANCO-007,2,0.1779784564,1.6192686468,491.284332,15
BANCO-007,3,0.1740025272,1.6200182987,453.301680,16
BANCO-007,4,0.1784868800,1.6402861539,484.633206,16
BANCO-007,5,0.1749398300,1.6242338045,520.167889,16
BANCO-007,6,0.1755670757,1.6087290456,509.693359,15
BANCO-007,7,0.1813217359,1.6532294212,479.891278,16
BANCO-007,8,0.1859781424,1.6747114809,496.510118,16
BANCO-007,9,0.1864964295,1.6570546071,425.126894,15
BANCO-007,10,0.1723763614,1.6127305812,559.466318,16
BANCO-007,11,0.1800811747,1.6285154962,459.143559,15
BANCO-007,12,0.1975048865,1.7290978889,452.369178,16
BANCO-007,13,0.1681719167,1.5768323498,450.662439,15
BANCO-007,14,0.1788676931,1.6231727024,443.917767,15
BANCO-007,15,0.1709795853,1.6064970607,509.309364,16
BANCO-007,16,0.1720584900,1.6113098648,516.259211,16
BANCO-007,17,0.1776615931,1.6365371727,451.731172,16
BANCO-007,18,0.1815785302,1.6544069148,521.701696,16
BANCO-007,19,0.1779191361,1.6377061770,466.926125,16
BANCO-007,20,0.1660676518,1.5847668499,552.599261,16
BANCO-007,21,0.1818126596,1.6554812129,480.767082,16
BANCO-007,22,0.1737684609,1.6009123982,418.878796,15
BANCO-007,23,0.1718985141,1.6105953311,461.831665,16
BANCO-007,24,0.1762921480,1.6303351731,453.530868,16
BANCO-007,25,0.1809732495,1.6516328266,534.423001,16
BANCO-007,26,0.1770580382,1.6152375827,518.119896,15
BANCO-007,27,0.1923739013,1.6836401107,405.418810,15
BANCO-007,28,0.1815643557,1.6543418980,459.057064,16
BANCO-007,29,0.1740074143,1.6200402499,416.570279,16
BANCO-007,30,0.1756330953,1.6273588112,533.418608,16
BANCO-008,1,0.1875172612,1.6818733198,500.151401,16
BANCO-008,2,0.1722122514,1.6119969404,486.009161,16
BANCO-008,3,0.1770323687,1.6336845910,429.460723,16
BANCO-008,4,0.1760200980,1.6291059030,460.324142,16
BANCO-008,5,0.1792495588,1.6437583636,440.602376,16
BANCO-008,6,0.1766466120,1.6319382262,460.586141,16
BANCO-008,7,0.1810497159,1.6519830264,474.846749,16
BANCO-008,8,0.1771390667,1.6155920522,420.276122,15
BANCO-008,9,0.1749456070,1.6242598204,485.061340,16
BANCO-008,10,0.1758618479,1.6283912694,403.160024,16
BANCO-008,11,0.1823909704,1.6387338551,388.960721,15
BANCO-008,12,0.1777006517,1.6367144084,546.932535,16
BANCO-008,13,0.1707304072,1.6053875659,553.666467,16
BANCO-008,14,0.1815272103,1.6541715278,513.947178,16
BANCO-008,15,0.1731975379,1.6164066046,481.507735,16
BANCO-008,16,0.1909973061,1.6981798089,478.716081,16
BANCO-008,17,0.1749140727,1.6241178153,514.633319,16
BANCO-008,18,0.1786795756,1.6411627362,424.078246,16
BANCO-008,19,0.1878223833,1.6832967499,446.788987,16
BANCO-008,20,0.1735872452,1.6181540727,478.385817,16
BANCO-008,21,0.1884008739,1.6859987838,446.745783,16
BANCO-008,22,0.1740860067,1.6203933021,490.079739,16
BANCO-008,23,0.1854191972,1.6312260199,355.560152,14
BANCO-008,24,0.1804939929,1.6494396250,414.477270,16
BANCO-008,25,0.1756954081,1.6276399906,490.043656,16
BANCO-008,26,0.1826648673,1.6593974441,451.837398,16
BANCO-008,27,0.1860821350,1.6751944181,394.690324,16
BANCO-008,28,0.1748426372,1.6237961722,520.902867,16
BANCO-008,29,0.1778756474,1.6375087204,455.578872,16
BANCO-008,30,0.1739096632,1.6196012399,484.641001,16
BANCO-009,1,0.1682321396,1.5943060020,584.292868,16
BANCO-009,2,0.1736919098,1.6186237161,495.613483,16
BANCO-009,3,0.1869011336,1.6790026813,521.933132,16
BANCO-009,4,0.1976149339,1.7296255448,447.245738,16
BANCO-009,5,0.1876328423,1.6824123776,435.364851,16
BANCO-009,6,0.1813143258,1.6531954559,641.895201,16
BANCO-009,7,0.1742043380,1.6209250145,515.000953,16
BANCO-009,8,0.1676754873,1.5918472987,606.545893,16
BANCO-009,9,0.1702871730,1.6034159070,611.494383,16
BANCO-009,10,0.1760395607,1.6291938156,603.760848,16
BANCO-009,11,0.1838788615,1.6649922316,505.421913,16
BANCO-009,12,0.1894185893,1.6907628952,523.112872,16
BANCO-009,13,0.1940283291,1.7125110727,456.405284,16
BANCO-009,14,0.1879140367,1.6837245591,481.348341,16
BANCO-009,15,0.1893106233,1.6902568490,474.474562,16
BANCO-009,16,0.1866882512,1.6780119671,521.584480,16
BANCO-009,17,0.1840492431,1.6657789563,460.527126,16
BANCO-009,18,0.1750284294,1.6246328461,577.373662,16
BANCO-009,19,0.1703451925,1.6036738600,580.364071,16
BANCO-009,20,0.1697715619,1.6011253374,710.893868,16
BANCO-009,21,0.1889445738,1.6885422698,495.992337,16
BANCO-009,22,0.1733806732,1.6172275580,481.744407,16
BANCO-009,23,0.1710196401,1.6066754811,600.878810,16
BANCO-009,24,0.1871526483,1.6801739369,474.865775,16
BANCO-009,25,0.1781644082,1.6388202592,567.658627,16
BANCO-009,26,0.1887744814,1.6673087046,445.837608,15
BANCO-009,27,0.1857795071,1.6737894143,493.890918,16
BANCO-009,28,0.1726843940,1.6141085184,596.778314,16
BANCO-009,29,0.1691673123,1.5984451606,659.842759,16
BANCO-009,30,0.1790646711,1.6429159603,625.742233,16
BANCO-010,1,0.1891277193,1.6893999077,442.260728,16
BANCO-010,2,0.1694710240,1.5997917267,457.769924,16
BANCO-010,3,0.1688185411,1.5969002130,546.977935,16
BANCO-010,4,0.1902375572,1.6946064072,559.657822,16
BANCO-010,5,0.1974185514,1.7286840410,484.036003,16
BANCO-010,6,0.1767696074,1.6324948375,550.213217,16
BANCO-010,7,0.1808559572,1.6319359528,478.671181,15
BANCO-010,8,0.1871134228,1.6799912175,452.888586,16
BANCO-010,9,0.1872026318,1.6804067979,553.055401,16
BANCO-010,10,0.1813177844,1.6532113087,429.277693,16
BANCO-010,11,0.1854315399,1.6721753713,539.635139,16
BANCO-010,12,0.1802882417,1.6484989487,501.228431,16
BANCO-010,13,0.1852837723,1.6714904233,562.938608,16
BANCO-010,14,0.1968712673,1.7260629359,391.518620,16
BANCO-010,15,0.1905969167,1.6962956797,430.642311,16
BANCO-010,16,0.1830758199,1.6612892434,500.292608,16
BANCO-010,17,0.1748228512,1.6237070955,505.750409,16
BANCO-010,18,0.1951430882,1.6963133513,423.032460,15
